Naam;Omschrijving;Kode;URL;EC;BoekVerplicht;Lesuren;Video;Slides;Allen;BDAM;FICT;SE;IAT;GI-BE;GI-AN;GI-AD;GI-ON;GI-RE;BP-BE;BP-AN;BP-AD;BP-ON;BP-RE;IS-BE;IS-AN;IS-AD;IS-ON;IS-RE;SW-BE;SW-AN;SW-AD;SW-ON;SW-RE;HI-BE;HI-AN;HI-AD;HI-ON;HI-RE;aantal1;aantal2;aantal3;level;S-GI-BE;S-GI-AN;S-GI-AD;S-GI-ON;S-GI-RE;S-BP-BE;S-BP-AN;S-BP-AD;S-BP-ON;S-BP-RE;S-IS-BE;S-IS-AN;S-IS-AD;S-IS-ON;S-IS-RE;S-SW-BE;S-SW-AN;S-SW-AD;S-SW-ON;S-SW-RE;S-HI-BE;S-HI-AN;S-HI-AD;S-HI-ON;S-HI-RE
imixr;Mixed Reality in Onderzoek;uub35xc;https://hogeschoolleiden.sharepoint.com/sites/og1920.imixr-mixed-reality-in-onderzoek/SitePages/Home.aspx;30;;;no access;;K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
imtcm;Interactie-technologie Creative marketing;8mtu9nb;https://hogeschoolleiden.sharepoint.com/sites/og1920.imtcm-interactie-technologie-creative-marketing;3;J;;;;;;;;V;;;;3;3;;;;;;;;;;;;;;;;;;;;;0;0;2;3;;;;2;2;;;;;;;;;;;;;;;;;;;;
imtd1;Interactie-technlogisch Design 1 ;9g3ctc3;https://hogeschoolleiden.sharepoint.com/sites/og1920.imtd1-interactie-technlogisch-design-1/SitePages/Home.aspx;3;J;;;PDF;;;;;V;;;;2;1;;;;;;;;;;;;;;;;;;;;;1;1;0;2;;;;1;;;;;;;;;;;;;;;;;;;;;
imthe1;Interactie-technologie Hardware Engineering;dmh9f4d;https://hogeschoolleiden.sharepoint.com/sites/og1920.imthe1-interactie-technologie-hardware-engineering/SitePages/Home.aspx;3;J;;;PDF;;;;;V;;;;;;;;;;;;;;;;;;;1;1;;1;1;1;;5;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
imthmi;Human-Machine-interaction;3urbclq;https://hogeschoolleiden.sharepoint.com/sites/og1920.imthmi-human-machine-interaction/SitePages/Home.aspx;3;;;;PDF;;;;;V;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
imtue;Interactie-technologie Usability Engineering;0foq5rz;https://hogeschoolleiden.sharepoint.com/sites/og1920.imtue-interactie-technologie-usability-engineering/SitePages/Home.aspx;3;;;;PDF;;;;;V;;2;1;;1;;;;;;;;;;;;;;;;;;;;;2;1;0;2;;1;;;1;;;;;;;;;;;;;;;;;;;;
imtux;Interactie-technologie User Experience;b3gxlto;https://hogeschoolleiden.sharepoint.com/sites/og1920.imtux-interactie-technologie-user-experience;3;;;YT;PDF;;;;;V;;3;3;;;;;;;;;;;;;;;;;;;;;;;0;0;2;3;;2;2;;;;;;;;;;;;;;;;;;;;;;
inet;IT Netwerkstructuren;rlf3xo7;https://hogeschoolleiden.sharepoint.com/sites/og1920.inet-it-netwerkstructuren/SitePages/Home.aspx;3;J;;MS;PPT;V;;;;;;;;;;;;;;;;1;;1;1;;;;;;;;;;;3;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
ioo1;Objectgeoriënteerd ontwerpen en programmeren 1;bnz3axb;https://hogeschoolleiden.sharepoint.com/sites/og1920.ioo1-objectgeorienteerd-ontwerpen-en-programmeren-1/SitePages/Home.aspx;3;;;MS;PDF;V;;;;;;;;;;;1;;;;;;;;;1;1;;1;1;;;;;;5;0;0;1;;;;;;;;;;;;;;;;1;1;;1;1;;;;;
iooa;Objectgeoriënteerd ontwerpen en programmeren 2;rmmtlpe;https://hogeschoolleiden.sharepoint.com/sites/og1920.iooa-objectgeorienteerd-ontwerpen-en-programmeren-2/SitePages/Home.aspx;4;;;;;V;;;;;;;;;;;1;;;;;;;;;;2;;2;2;;;;;;1;3;0;2;;;;;;;1;;;;;;;;;;1;;1;1;;;;;
ipbdam2;Project Business DataManagement 2;c19kyha;https://hogeschoolleiden.sharepoint.com/sites/og1920.ipbdam2-project-business-datamanagement-2/SitePages/Home.aspx;6;;;;PDF;;V;;;;;;;;;;2;;;;;;;;2;;;;2;2;;;;;;0;4;0;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ipbdam3;Project Business DataManagement 3;q03jcty;https://hogeschoolleiden.sharepoint.com/sites/og1920.ipbdam3-project-business-datamanagement-3;6;;;;PPT;;V;;;;;;;;;;2;;;;;2;;;1;2;2;;;2;;;;;;1;5;0;2;;;;;;;;;;;;;;;;;;;;;;;;;
ipbdam4;Project Business DataManagement 4;n0y7xh7;https://hogeschoolleiden.sharepoint.com/sites/og1920.ipbdam4-project-business-datamanagement-4/SitePages/Home.aspx;6;;;;;;V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
ipbdam5;Project Business DataManagement 5;nmzhl7c;https://hogeschoolleiden.sharepoint.com/sites/og1920.ipbdam5-project-business-datamanagement-5/SitePages/Home.aspx;6;;;;;;V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
ipdamh;Hoofdfaseproject Business DataManagement;0cnb5ab;https://hogeschoolleiden.sharepoint.com/sites/og1920.ipdamh-hoofdfaseproject-business-datamanagement/SitePages/Home.aspx;9;;;;;;V;;;;;;;;;3;3;3;3;;2;;;;;2;;;;;;;;;;0;2;4;3;;;;;;3;3;2;2;;2;;;;;1;;;;;;;;;
ipfit4;Project Forensisch ICT 4;ag875vb;https://hogeschoolleiden.sharepoint.com/sites/og1920.ipfit4-project-forensisch-ict-4/SitePages/Home.aspx;6;;;;;;;V;;;;;;;;;2;1;;;;;;;;;2;2;;;;;;;;1;3;0;2;;;;;;;1;;;;;;;;;;1;1;;;;;;;
